anger,When someone stole my bike.,
sadness,"When I saw the list of books to read for an acccouting course, I  
thought "" Oh God how will I ever manaage it!""",
disgust,"It was when I read a newspaper article on the future and they  
foresaw that we would be eating frog-burgers by the year 2000.   
An illustration showed a frog between two pieces of bread.",
shame,"When I dropped a bottle in the state liquor store and everyboby  
started laughing.",
guilt,"When I was young - 14, I pinched from a store and was caught.   
The store then contacted my parents.",
joy,"When the whole family gets together for a one week holiday.   
Everybody feels free and the trip is well planned.  It works out  
well and we enjoy ourselves.",
fear,"When I could not find my 2 year old daughter.  I ran and looked  
for her everywhere and could not find her.  (I finally found her,  
she had gone to bed to sleep)",
anger,When friends try to put me down or hurt me.  ,
sadness,Marriage crises.  Boredom.,
disgust,When someone makes advances that one does not want.,
shame,The discovery that one has only thought of oneself.,
guilt,When I spanked a child in anger and later regretted it terribly.,
joy,When I passed the first examination that I had to repeat.,
fear,"When I drove to Stockholm for the first time and drove off the  
Stora Hissingen road at the wrong exit.",
anger,When my boyfriend went away for a month long holiday without me.,
sadness,"Last year when I worked during the Summer holidays and studied  
at the same time for an examination I had to repeat; my boyfriend  
went to Greece for a holiday for a month.",
disgust,When a dog is left whining outside a shop.,
shame,"When I promised to help a friend over a weekend and did not keep  
the promise.",
guilt,When I realized that I had three more examinations to take.,
joy,"The day I was told that I had been accepted as a student of  
economics.",
fear,"While taking a short cut through the Vasa park, I was surrounded  
by three people who tried to steal my money.  I was scared and  
was saved only by the appearance of other people.",
anger,"At a restaurant I observed how the gypsies tried to get money by  
cheating the foreigners i.e non Swedish speaking.  My anger had  
nothing to do with hatred against foreigners, but it was an  
expression of the anger I feel when I see people being used .",
sadness,"At the begining of a new course one is afraid of encountering  
problems one can not manage.  Thoughts revolve around failing  
the subject and the consequences it would have for the future.",
disgust,"While walking in town I noticed how the police harrassed a man  
who was under the influence of alcohol.  They terrified him with  
the thought of arrest by driving close behind him on a pedestrian  
street.  My disgust was directed at the gestures and the facial  
expressions of the policemen; they seemed to be enjoying  
themselves.",
shame,"When my boyfriend revealed that he knew that I had discovered  
things of an important nature about him, I felt ashamed as I had  
not mentioned it earlier.",
guilt,"When I am dishonest to a friend to whom I am very close.  I  
feel guilty because I know that he gives a different version of  
the truth and I have not corrected these mistakes, and he is  
aware that I know that they are wrong.",
joy,"When I found out that I had passed the last two exams by a  
margin of three marks.",
fear,When my father was ill and was waiting for the results of his tests.,
anger,"When I got caught in the pouring rain last Thursday and did not  
have a raincoat on me.",
sadness,When I failed an exam.,
shame,"When I had not prepared my contribution to the group as  
thoroughly as the other members, with the result that the  
overall result was poor.",
guilt,"When my father and I worked on the house just after he had  
recovered from illness, I was rather lazy.  This meant that he  
had to work hard and was not very well later.",
joy,"When I gave birth to my son and saw that he was alive and that I  
had managed it well.  He was born a month too early with a  
malfunctioning lung.  This happened a year ago.",
fear,"When I found out that my father had lung cancer and they did not  
know how long he would live.",
anger,"When a colleague asked me for help at work, despite the fact  
that he had more time to do it than I had.",
sadness,"When I did not get the salary increase that I had been expecting  
and understood how little one's work was appreciated.",
disgust,When I was weeding the garden I found a lizard in my hand.,
shame,"When I met a friend whom I had not seen for a long time and  
heard all about her troubles, I thought that I should have got  
in touch with her earlier.",
guilt,"I got angry at my mother for something trivial.  We were in a  
bad mood because my father was very ill and I knew that my mother  
really needed support.  I had reacted wrongly.",
joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the  
steps outside her parents home and I kissed her for the  
first time.",
fear,"When I was stopped by plain clothes policemen because the car I  
was driving had overturned on the Avenue.  I had been driving too  
fast, and I was afraid when I was stopped, questionned and then  
toild to go.  The situation ended happily since there were no  
consequences.",
anger,"The editor changed the heading of an article that I had written.   
He considered the heading to be derogatory towards the person I had written  
about.",
sadness,"A close acquaintance of the family died of lung cancer.   
Although it was expected, I still felt depressed.",
disgust,"When I saw a picture, in the Gothenburg Post, of a totally  
demolished car with two fatally injured passengers.  The car was  
so badly damaged that they couldn't get the bodies out at the  
scene of the accident.",
shame,"One night I had a sexual intercourse with another man.  My sexual  
desire and my curiosity had made me jump into bed with him.  I am  
ashamed of myself now.",
guilt,"Due to laziness, I failed the term studies completely at  
University.  I also wanted, to some extent, to protest against my  
parents' expectations.",
joy,When I got the loan for my studies.,
fear,"I met intoxicated people with dubious intentions in a back alley  
one Wednesday night.",
anger,"On the T.V I saw a news feature on South Africa.  A policeman       
attacked a group of black people with a whip.",
sadness,"The thought of having to read a boring book of 400 pages in  
English.",
disgust,Grovelling people.,
shame,My inability to assert myself positively in a group.,
guilt,I experience feelings of guilt because I do not study enough.,
disgust,"Observing someone in the cafeteria noisily gulping in his food,  
having extremely bad manners.",
shame,"I guess I have often been ashamed after having talked badly of  
other people.",
guilt,Having been angry and unpleasant towards my parents.,
joy,"When my sister - after a history of one abortion and one  
stillbirth - gave birth to a perfectly healty boy.",
fear,"When my sister had the still born child, she was emotionally very  
deep down, and it took her a long time to recover.",
anger,"We were starting a student project, and the teacher we talked to  
was very negative and not very helpful.",
sadness,"When my boyfriend openly let me down, preferring another girl.",
disgust,"I felt some disgust for my boyfriend for a time, after he had  
left me.",
shame,Can't think of any.,
guilt,"Before an accident, my aunt offered me the front seat of the car,  
next to the driver. I declined, she took that seat and was killed  
there when the car crashed.",
joy,"Unexpected visit by a close friend, whom I hadn't seen for half a  
year.",
fear,"I wandered by mistake into the safety zone of a shooting range,  
and was shot at.",
anger,Being treated unfairly.,
sadness,Breaking up with a girl.,
disgust,Nothing.,
shame,None.,
guilt,Little contact with my father before he died.,
joy,"When I was accepted as a student at the college, not having  
thought it possible.",
fear,"When I was the first to arrive at the scene after an accident,  
and found that a close school friend had been killed.",
anger,"I was accused of having done something, which I hadn't and got  
very angry.",
sadness,When my grandmother died.,
disgust,Not applicable.,
joy,"A couple of years ago during the summer holiday, I was fishing at  
a lake with my husband.  Suddenly it started raining while the  
sun was still shining. I experienced a feeling of joy, happiness  
and fulfillment.  the whole nature was full of music.",
fear,"I was alone at home, in bed reading a womens' magazine in which  
there were storiees of paranormal experiences.  My leg was  
itching and I stretched my hand to scratch and I felt another  
strange hand. (later I realized that it was the corner of the  
blanket)",
anger,"I went to a lecture and once again it had been cancelled, this  
was the second time.  One had a negative attitude towards the  
lecturer. 
",
sadness,"I heard that a former superior of mine had died, I was later at  
home home reading about it in the newspaper and I thought of our  
interaction and how it was no longer possible.  The limited scope  
of human life is sad.",
disgust,"In the tram there was a fat, sickly looking woman in front of me  
who was asking for directions in a thick voice.  When she got up to  
go a disgusting smell of urine came from her.  I felt that I  
would choke.",
shame,"When we were at home, my husband and I, he made a remark about  
something I had done, in a perfectly friendly manner.  My deed  
had been unjust and I knew that my husband was right, therefore my  
sense of shame.",
guilt,"I made a remark to my sister concerning her attitude to men, the  
way she talked and I compared her to an acquaintance of mine.   
Later, the same evening, my sister looked sad.  I felt guilty  
about her sadness.",
joy,"I had a summer job in Sweden, and my boyfriend came to meet me on  
my birthday.",
fear,"I went to practice in Sweden during summer, and I was afraid that  
I would not do well.",
anger,"In the holiday cottage of our association, two of my pals came to  
wake me up early one morning by bringing a radio played at the  
highest volume into my room - it was the morning service at its  
loudest.",
sadness,My grandmother died suddenly last summer.,
disgust,"My superior at the summer job swindled customers as much as he  
could, and once put me in a difficult situation after which I  
could not but detest him.",
shame,"Once I arrived two hours late to my work place (a bank) and I was  
still feeling feeble and tired.",
guilt,"Our association had Polish visitors and when they were going back  
by boat I did not go to see them off (I am the chairman of the  
association).",
joy,"I was told quite unexpectedly that one wanted me to become the  
vice-chairman of our student organisation.  I was really  
surprised and joy was the first emotion I felt, though behind it  
there was worry - how shall I succeed ?",
fear,"Our tutorial group was soon to be divided, and we got a list of  
names of freshmen, out of which five were to be in my group.  We  
read the names and then each group went its own way to a seminar  
room.  I wondered how I would cope with the new situation and if  
I would succeed as a group leader.",
anger,"We were in a disco and the evening was not at all pleasant.   
Despite my not knowing why, I was angry with my companion.  I let  
him feel my bad humour as I cannot hide my feelings.",
sadness,"My grandmother died, and my mother called me one sunday morning  
in the Autumn.  The way my mother told me about it, I hated her  
at that moment.  She sounded as if she had been waiting for the  
death of my grandmother.  I had lost a person close to me.  I  
felt guilty too as I had been bad to my grandmother of late.  I had not  
remained calm when she no longer understood everything so well.",
disgust,"At the underground station, a drunkard came to speak to me.  He  
tried to ask me something but I did not answer so he began to  
speak about me with his companion.  I detested this dirty  
growling man.",
shame,"I was worried by a task related to my studies which had to be  
done in groups of two.  I was talking about it to my friends when  
I said something negative, in too abrupt a manner, concerning my  
work partner.  I did not quite mean what I said and I felt  
ashamed at having been mean enough to criticize him as he is also  
a friend of mine.",
guilt,"I had told my boyfriend that I did not want to go on with our  
relationship.  I knew that I was important to him but I wanted to  
be free.  I saw that this was difficult for him but I remained  
firm and did not change my mind.",
joy,"Last night I had a chat with a fellow student.  I had known her  
for about half a year, and for the first time we were speaking  
""the same language""- meaning an inspiring discussion and  
encounter.",
anger,"[ I sometimes quarrel with my mother because she blames me,  
though I have not in any way been connected to some events.]",
sadness,"After hearing about the death of my grandfather.  First I could  
not believe it, but later I wept and felt the situation was  
hopeless.  I felt lonely and wanted to be consolated.",
disgust,"In the evening, while I was watching TV, my little brother came  
in and started eating food he had brought from the kitchen while  
I was trying to concentrate on the program.",
shame,"My little brother was arrested by the police at the railway station after  
he had drunk some beer.",
guilt,"At my temporary job, I have to restrict  others' actions and make  
them obey me, and this very often gives me  a feeling of guilt.  I  
wish there could be some other way of acting.",
joy,"I met a dear friend of mine after a long time.  I expressed my feelings  
in our own usual way, by mutual scolding and abusing (with  
complete understanding) and by touching, patting and taking the  
hand of the other person, etc...",
fear,"I felt fear of the purest kind after a car accident.  The  
incident and images of horror kept coming back to my mind.  I  
wondered what could have happened to my sister, my friend and me,  
though nothing very serious actually happened.",
anger,"Two boys whom I know were telling me, in an indecent manner, how  
they had teased a young and shy girl I know.  They had despised  
her conviction, scorned and touched her.  I got very angry and  
did not try to conceal it and gave it back to them.",
sadness,"My sweetheart left me, or rather we decided to break it off by  
mutual consent.  The consequences were - unrestrained weeping,  
feelings of loneliness, hopelessness and disconsolation.  I felt  
that I should find a friend, to talk to joyfully and to forget.",
disgust,"Out of sheer curiosity, I went to see a pornographic movie in  
Copenhagen.  The room was full of men, who panted and  
masturbated.  Very disgusting.",
shame,"After having quarelled unnecessarily and without any reason, and  
having been stupidly cross in every way.",
guilt,Forced to fill in a questionnaire.,
joy,When I won a tennis match.,
fear,When my dog ran out on thin ice last spring.,
anger,"When my tennis match was interrupted because a kid cycled right  
into the court.",
joy,"Celebrations on the graduation day with the orchestra playing in  
the garden ( I am a part of this orchestra).",
fear,Risk of being involved in a fight after a party.,
anger,"I had a very heavy work load and two colleagues, whom I have  
nothing against, disturbed me by ""terror ringing"", i.e  
continously interrupting me by telephoning.",
sadness,After an exam which I failed.,
shame,"When I overtook a car on the mainroad, misjudging the distance of  
an oncoming car and this resulted in tooting and flashing from  
the other driver (we could have collided), and I had an  
acquaintance in the car with me.",
guilt,"I saw a neighbour, from the same appartment block as me, lying     
on the road.  He could have been injured or ill.  I kept 20  
metres away and did not go to help him.",
joy,When I met an old schhol friend (school love).,
fear,"When I was cycling to school, I nearly got knocked down by a car  
which (overtook me too closely) did not give me any swerving space.",
anger,"When I was deputy manager during the Summer, certain deputies  
took liberties, more than what was normal.",
sadness,"When I realized that my girlfriend, whom I like, and I were going  
to separate.",
disgust,Dog dirt which thaws in the spring.,
shame,When I forgot my mother's birthday.,
guilt,[ Can not think of anything just now.],
joy,Passed the last exam.,
fear,Was nearly knocked down by a car.,
anger,"I reached the bus stop and realized that I had forgotten my bus  
pass.",
sadness,"My current work load is too much.  The feeling comes back from  
time to time.",
joy,When my one year old son gives me a spontaneous kiss.,
fear,When someone close to me is travelling by car and is delayed.,
anger,When someone does something wrong which affects me negatively.,
sadness,When I think about my parents getting old.,
guilt,"I do not have the time for other people's problems.  My  
mother-in-law is sometimes depressed and I do not have the time,  
the desire or the strength to help.",
joy,"An ex-colleague asked me if I was interested in working in their  
accounts bureau.  They needed ""clever people"" and he had  
""immediately thought of me.""",
fear,"I was driving and a deer suddenly appeared in front of the  
car when there was a lot of traffic behind me.",
anger,I saw a report on T.V news on apartheid in South Africa. ,
joy,When my girlfriend became pregnant.,
fear,When I nearly collided with another car.,
anger,The time when someone let the air out of the tyres of my cycle.,
sadness,When I read a lot and did not remember anything.,
guilt,The time that I had to put my dog to sleep.,
sadness,Long illness.,
joy,When I passed an exam.,
fear,"When I was travelling by tram, I tripped and fell against the  
door.  I thought that I was going to fall out.",
anger,When I missed the tram after having run for it.,
sadness,The inability to read a book at college.,
disgust,If a guy one is not interested in makes advances.,
shame,I drink wine too often.,
guilt,I do not study enough as I do not understand it properly.,
joy,"I worked at a lawyer's office during Summer and I got a very  
good reference from him.",
fear,"I had been watching a triller a dark night in the country and I  
had to go the outside toilet on my own. ",
anger,"When I am accused of something I have not done, I get unbelievably  
angry.",
sadness,"When I began to read a thick book, which I had a limited time to  
read.  Also when I have a lot of work to do and I cannot keep up.",
disgust,Someone vomited on the street.,
shame,"I can not think of any incident when I have felt very ashamed.   
There are small incidents that I am ashamed of, for instance,  
not sending money to the children in Ethiopia.",
guilt,"I had lunch with my ex-boyfriend and did not mention it to my  
fiancee.  I felt guilty despite the fact that I felt nothing for  
my ex-boyfriend.",
joy,When I was finally qualified for my profession.,
fear,Someone attacked me with a knife.,
anger,Someone drove into my car and then denied that it had happened.,
sadness,When I was told that my friend's wife had cancer.,
disgust,When I saw a dog which had been knocked down by a car.,
shame,When I boxed my child's ears.,
guilt,When I was fined for speeding.,
joy,I stopped working (had a boring job).,
fear,"I was going home by car late one night when it was cold, dark and  
windy.  I became rather panicky on the way to my house.",
anger,Quarrel in the family.,
sadness,"When I am alone in a room with no contact with anyone -  
loneliness drains me.",
disgust,When I was on holiday someone vomited in front of me.,
shame,Emptied a bucket of water in a hospital.,
guilt,When I feigned sick leave from work.,
joy,When I get a hug from someone I love.,
fear,"I was driving very fast on a small road and I met an oncoming car  
in a right handed bend.  The other driver was on his own side of  
the road and I had to skid out of it to avoid a collision.  It  
was dark.",
anger,"My car had been towed away by the traffic police because it had  
been wrongly parked.  However the sign had been put up only after  
I had already parked.",
sadness,After an operation I had to stay in bed for a long time.,
disgust,"I was forced to stay in the canteen and eat the food that I had  
not asked for but got it anyway.",
shame,When I did not buy what I had promised to.,
guilt,"By mistake I took a book from the library which was not supposed  
to be loaned out.",
joy,When I won an unexpected sum of money.,
fear,"My 2 year old daughter disappeared in a moment of inattention; I  
was responsible for her.",
anger,"A colleague asked me for some advice and as he did not have  
enough confidence in me he asked a third person.",
sadness,"I wanted to be pregnant and did not succeed, so I was depressed     
at every menstruation.",
disgust,"In a warm bus full of people, someone vomited and the whole bus  
stank.",
shame,"I complained about a colleague's behaviour as she goes back on  
her word, is often absent and is irresponsible.  I found out that  
she was an alcoholic and was trying to fight againt her  
addiction.",
guilt,"I spoke to my mother on the phone.  She had skin cancer and was  
waiting to be operated.  I forgot to ask her the date of the  
operation and just before finishing our conversation she gave me  
the date in passing. ",
joy,"When I was at a party I met an old friend from an adult  
education course.  We had not met for 2 years but had both thought  
a lot about each other.  A wonderful experience. 
",
fear,"When I was cycling through the park late one night, two people  
jumped out of the woods and tried to stop me.  There were  
shouting something at the same time.",
anger,"When close relatives tried to dissuade me from studying  
Psychology because of its low status.",
sadness,"I had a long discussion on politics with an acquaintance.  He  
was more knowledgeable than me and I failed to explain my point  
of view and was misunderstood so I felt depressed and left.",
disgust,"When I read a newspaper article on a young girl who had been  
raped and assaulted one night by several men when she was unconscious.",
shame,"My mother revealed personal details about me and the  
negative aspects of my character to other people when I was  
present but unable to defend myself.",
guilt,"I was unfaithful to my partner once when he was working abroad  
for a long period.",
joy,When I recently got an appartment in central Gottenburg.,
fear,When I saw a large spider crawling up the wall.,
anger,"My employer took too many aspirins for a bad back and also drank  
an enormous amount of spirit.  This was dangerous  and he did  
not understand that he had done anything wrong.",
sadness,"When I left New York, and all my family and my friends behind me.",
disgust,"When I slept with a guy because my best friend wanted me to.   
He had never had intercourse with anyone and had a terrible  
complex about it.",
shame,"When I dated a close girlfriend's boyfriend a few times. He told  
me that it was over between them and I accepted it.  When she  
found out she finished our friendship.",
guilt,"When I broke off with my boyfriend after three years.  It was  
quite unexpected for him and there was no particular reason for  
the break up, such as someone else.",
joy,"When my son returned from mountaineering - healthy in body and  
soul.",
fear,"When one meets new people with whom one is forced to collaborate  
with.",
anger,"The sports fishermen who catch gulls instead of fish with their hooks.  
  It is often a mistake but it makes me angry.",
sadness,I feel sad about an event I can not influence.,
disgust,"When a member of the family complains about the food that is  
served, it disgusts me.",
guilt,"I have chosen to put my son in a private school were the  
examination marks are low.  Every time that he gives me his term  
results I am left with a sense of guilt.",
joy,"When I was informed that I had been accepted as a student of  
Psychology.",
fear,"When I was in a little fishing boat and we ran into hard weather  
in the open sea.",
anger,"When I found out that the guy I was dating at a particular time  
had a steady relationship going on with someone else for a long  
time.",
sadness,I felt sad and depressed when I heard that our cat had died.,
disgust,"When I was working as a nurse in a mental hospital, a patient ate  
up the contents of another patient's spitoon.",
shame,"At primary school, when I vomited in front of others in the middle   
of a lesson.",
guilt,"I arrived an hour late for an important meeting ( I had  
misunderstood the time).",
joy,When I was acceptted as a student of psychology.,
fear,When my son has a pain in his leg (for no apparent reason).  ,
anger,"When, after a week at school, a teacher sent a note home saying  
that my son was inattentive and unable to do his lessons.",
sadness,"When I thought that it was going to be impossible for me to start  
studying (due to wrong information from the student advisor).",
disgust,"At a certain person's lack of cleanliness, at home and  
personally.",
shame,"When I made the same mistake that I had accused someone else of, and  
this was obvious to a third pereson.",
guilt,When I lost something that was valuable to my sister.,
joy,When my son was born.,
fear,"When I nearly drowned in icy water wearing ice skates.  It was  
difficult to get out.",
anger,"When I was pointed out as a problem child in primary school and  
my mother took the teacher's point of view.",
sadness,When I was accused of neglecting work for the wrong reasons.,
disgust,"My parents attitude towards each other when they should become  
reconciled, despite my father's long-time addiction.",
shame,When I was caught stealing money from my father.,
guilt,"I stole a coconut cake from a reception table and when I put  
in my mouth I realized that the host was watching me.",
joy,"When after 10 months of national service I was ""downgraded"" and  
did not have to do the remaining 5 months.",
fear,"When I was reprimanded by the manager of the hotel where I  
worked during Autumn 1984.",
anger,"When my parents drove me to a nearby place and went home  
immediately instead of waiting a few hours.  They could have  
easily waited.",
sadness,"When my ex-girlfriend and I discovered that there was a certain risk  
of her being pregnant.",
disgust,"When I was about to clean the draining board and saw it looked  
underneath the sink (I live in a students hostel).",
shame,When my mother caught me masturbating.,
guilt,"As the only person in my family into academics, I ought to have  
looked after my younger (and only) sister better, with respect to  
her education and life experiences.",
joy,"When my older sister told us that she was thinking of joining the  
rest of the family for the winter sports holiday.",
fear,"Slept in a chapel and in the middle of the night I realized that  
there was someeone else in the chapel.  I never discovered who  
it was and why he was there.",
anger,"When we were in high school a few guys sometimes provoked a  
friend of mine.  They called her a pig and then grunted.  This  
irritated most of the girls.  Once, one of the girls got angry at  
my friend and said something nasty and this made me terribly  
angry.",
sadness,"I talked to my boyfriend on the phone when I was in high spirits  
and had a lot to tell him.  I had been looking forward to this  
conversation and he did not listen to me to the extent that I  
had anticipated.",
disgust,A mother who shouts at her child for nothing.,
shame,"When I complained to my mother about how untidy the kitchen  
loooked, she boxed my ears ( this had never happened before).",
guilt,"As I could not be home before midnight I called home at 11.30 and  
asked them to leave the door open so that I could get in.  I  
actually woke up the whole family by calling them so late.  My  
mother could not go back to sleep, besides she had a conference    
the next day and really needed to sleep.",
joy,When I got through the first day here at the department.,
fear,"When I was cycling past a parked car someone opened the door and  
nearly pushed me off my bike and into the traffic.",
anger,"When my boyfriend sat up half the night playing computer games  
with a friend.",
sadness,When I had to leave my mother and my sister after a week's visit.,
disgust,When I saw a big spider from very close.,
shame,"When I asked a friend to return the money that I had loaned her  
and then remembered that she had repayed me in several ways.",
guilt,"When one of my parents insinuates something about the other  
(they are divorced).",
joy,When i was asked to be a child's godmother.,
fear,On the way down a ski slope which was difficult and steep.,
anger,When my mother interfered in my life.,
sadness,"When I was left alone one week-end without being prepared for  
it.",
disgust,"The first time that I saw a surgeon cut off a leg and put it in a  
black rubbish bag.",
shame,When I forgot about a meeting at work.,
guilt,When I demand too much from my friends.,
joy,"When my husband suddenly came to see me at my new job and  
brought some flowers and cake with him.",
fear,When I was nearly attackad by a man who had been chasing me.,
anger,"When my father asked me if I was a communist, at the same time he  
made it clear that I should no longer see myself as his daughter.",
sadness,"When I applied for a job which I thought I had a good chance of  
getting, I was not even granted an interview and did not get the  
job.",
disgust,T.V features showing the violation of defenceless people.,
shame,"When I as a child of 9 or 10 I was playing doctor with the  
neighbours boys their mother caught us.",
guilt,"When my husband talked about the restrictions he will have to  
accept in his life to make our marriage work.  I felt that it was  
directed at me as it was me who had demanded the changes.  We  
were with a marriage counsellor then.",
joy,"When we were able to afford a new sofa - a leather one which cost  
SEK 20000.  I had waited for it for 2-3 years.",
fear,Vertigo - standing on a ladder and painting the house.,
anger,"When my boss enrolled in a course to satisfy his own ends - to  
trample on his associates.  I have the misfortune to have one of  
my superiors in my course.",
sadness,"When I argue with my mother about the way she treats her two  
children differently.",
disgust,Spit and vomit.,
shame,Spots on the seat covers of my husband's car.,
guilt,"Not speaking to my sister-in-law due to lack of interest in a  
relationship on my side.",
joy,"When I recently managed to get my first consulting assignment  
""myself"" i.e on my own initiative.",
fear,"I was within a hair's breadth of knocking down a drunkard who  
suddenly ran into the street.  The fear came later when I      
realized what could have happened.",
anger,"When my friend, as usual, forgot the tickets at home for a  
performance.  We missed it.",
sadness,"The elections of 1982 and 1985.  The thought of what a social  
democrat and communist majority could achieve, especially ""worker  
share"" funds and its extension.",
disgust,"A study visit to a chicken factory : the butchery, the smell,  
the environment and the noise.",
shame,Confession to my parents about my involvement in a moped theft.,
